the_geom,cartodb_id,fid,id,name,accuracy,notes,who
0101000020E6100000A64412BD8C022940B6F3FDD478F14440,1,1,,Gardens of Seneca,rough,,
0101000020E6100000A1F31ABB44ED28403BFDA02E52F24440,2,2,,Gardens of Septimius Severus,rough,,
0101000020E61000009E25C808A8082940C8409E5DBEF14440,3,3,,Gardens Near Spes Vetus,rough,,
0101000020E6100000D6FD63213AEC2840C87C40A033F34440,4,4,,Gardens of Nero,rough,,
0101000020E61000005E2BA1BB24FE284036E84B6F7FF24440,5,5,,Gardens of Maius,rough,,
0101000020E6100000A9A27895B50529407D94111780F24440,6,6,,Gardens of Pallas = Gardens of Licinius,rough,,
0101000020E6100000336C94F59BF928409B728577B9F24440,7,7,,Gardens of (P. Cornelius)Scipio,rough,,
0101000020E610000020B41EBE4C0429404D2D5BEB8BF24440,8,8,,Gardens of (M. Statilius) Taurus,rough,,
0101000020E6100000D4BB783F6E072940FD86890629F24440,9,9,,Gardens of (D. Iunius) Torquatus,rough,,
0101000020E61000003FABCC94D6F7284013656F29E7F34440,10,10,,Gardens of Valerius Messalla Corvinus,rough,,
0101000020E61000009E42AED4B3F82840BC5B59A2B3F44440,11,11,,Gardens of Volusius Saturninus via Salaria,rough,,
0101000020E6100000C0CDE2C5C200294014AE47E17AF24440,12,12,,Gardens of Frontinus,rough,,
0101000020E61000008EAED2DD75F628407172BF4351F44440,13,13,,Gardens of (Acilius) Glabrio,rough,,
0101000020E610000010768A55830029406B2920ED7FF24440,14,14,,Gardens of (L. Aelius) Lamia,rough,,
0101000020E6100000D3872EA86FE92840537AA69718F74440,15,15,,Gardens of (T. Quinctius) Scapula,rough,,
0101000020E61000007B1002F225FC284097FF907EFBF04440,16,16,,Gardens of Asinius Pollio,rough,,
0101000020E61000000589EDEE010229401B81785DBFF24440,17,17,,Gardens of Callicles,rough,,
0101000020E6100000DE59BBED4203294061376C5B94F14440,18,18,,Gardens of Domitia Lucilla(Calvilla),rough,,
0101000020E610000026FC523F6FFA28405B7B9FAA42F14440,19,19,,Gardens of Drusus Caesar,rough,"same location as H. Asinius Pollio, porta capena",
0101000020E6100000B20DDC813AED28400F4757E9EEF04440,20,20,,Horti Caesaris,rough,,
0101000020E61000002D793C2D3FF0284024F0879FFFF24440,21,21,,Garden of Agrippa (Kim),rough,,
0101000020E6100000D1CB28965BF22840EC504D49D6F14440,22,22,,Gardens of Apronius,rough,,
0101000020E6100000689604A8A9ED2840A73E90BC73F44440,23,23,,Gardens of Aquilius Regulus,rough,,
0101000020E61000001EC022BF7E002940EDF0D7648DF24440,24,24,,Horti Maecenatis,rough,,
0101000020E61000004A46CEC29EEE28400DC51D6FF2F34440,25,25,,Horti Domitiae,rough,,
0101000020E6100000446FF1F09EEB284021B1DD3D40F34440,26,26,,Horti Agrippinae,rough,,
0101000020E6100000A4E4D53906EC2840984C158C4AF24440,27,27,,Horti Getae,rough,,
0101000020E6100000A91611C5E40529401AE0826C59F24440,28,28,,Horti Liciniani,rough,,
0101000020E6100000B98D06F016082940DD239BABE6F14440,29,29,,Sessorium,rough,,
0101000020E61000003D484F9143042940E08442041CF24440,30,30,,Horti Torquatiani,rough,,
0101000020E610000005DCF3FC69032940E3DF675C38F24440,31,31,,Horti Lamiani,rough,,
0101000020E61000006F2EFEB6270029400CB08F4E5DF34440,32,32,,Horti Lolliani,rough,,
0101000020E6100000B345D26EF4012940D769A4A5F2F24440,33,33,,Horti Tauriani et Calyclani,rough,,
0101000020E610000048FB1F60AD022940F7C77BD5CAF24440,34,34,,Horti Pallantiani,rough,,
0101000020E61000002FF99FFCDD032940F111312592F24440,35,35,,Horti Epaphroditiani,rough,,
0101000020E6100000DE3D40F7E5F4284075CDE49B6DF44440,36,36,,Horti Domitiorum,rough,,
0101000020E61000002EE6E786A6F428400D1AFA27B8F44440,37,37,,Horti Aciliorum,rough,,
0101000020E61000000919C8B3CBF72840185C7347FFF34440,38,38,,Horti Luculli,rough,,
0101000020E6100000FE0FB056EDFA28403F8D7BF31BF44440,39,39,,Horti Sallustiani,rough,,
0101000020E61000003AAE4676A5FD2840CC608C4814F24440,40,40,,Domus Aurea,approx,northern extent of DA-extends down to Circus Maximus,sage magee
0101000020E6100000091A33897AF928404069A85148F24440,41,41,,Templum Pacis,rough,,carole
0101000020E61000001283C0CAA1FD2840ADDF4C4C17F24440,42,42,,Domus aurea,rough,,yimeng
