the_geom,cartodb_id,continent,n1,n2,n3,region,pleiadeslocationprecision,maxdate,mindate,timeperiodskeys,pleiadestitle,verified,type,notes,g_verified,url
,2999,Europe,Gallia Belgica,Bad Durkheim-Ungstein,Rural Villa,,,,,,,,,,,
,5761,Europe,Germania Superior,Dietikon,Rural Villa,,,,,,,,,,,
,6802,Europe,Hispania Tarraconensis,Fraga,Villa of Fortunatas,,,,,,,,,,,
0101000020E6100000D113E0055B60434052B81E85EB111CC0,56,Europe,Lusitania,La Cocosa,Villa de La Cocosa,,,,,,,,,,,
,15976,Europe,Silicia,Syracuse,Public Square,,,,,,,,,,,
0101000020E6100000DFC2BAF1EEEC3D40D712F241CF363F40,51,Africa,Aegyptus,Imbrahimiya,Alexandria,,,,,,,locality,,,,
,2,Europe,Creta,,,,,,,,,,,,,
0101000020E610000025ECDB4944843E409A99999999593D40,95,Africa,Aegyptus,Theadelphia,Fayum,,,,,,,locality,,,,
,38,Italy,Villas near Tivoli,Cynthia's villa,,Region IV,,,,,,,,,,
,42,Europe,Germania Superior,Ferpicloz,Rural Villa,,,,,,,,,,,
0101000020E61000004866FD7FFFEC2A406F42E756049F4440,84,Italy,Latium,Sperlonga,,Region I,,,,,,verified,,,,
0101000020E610000047E867EA752B2C400B444FCAA4644440,11268,Italy,Campania,Misenum,,Region I,precise,640,-30,"roman,late-antique",Misenum,verified,,,,
0101000020E6100000840D4FAF94852B40DBF97E6ABC744640,1,Italy,Brioni Island,,,Region X,,,,,,locality,,,,
0101000020E61000007FD93D79586829404DF38E5374DC4440,11806,Italy,Latium,Nemi?,,Region I,,,,,,locality,,,,
0101000020E61000008048BF7D1D982940168733BF9AFB4440,113,Italy,Tivoli,,,Region IV,,,,,,verified,,,,
,101,Europe,Gallia Lugdunensis,Vaise,House with Xenia,,,,,,,,,,,
,102,Europe,Gallia Narbonensis,Vasio Voncontorium,Sanctuary with Porticoes,,,,,,,,,,,
,103,Europe,Gallia Belgica,Weitersbach,Rural Villa,,,,,,,,,,,
,105,Asia,Hellespontus,,,,,,,,,,,,,
,106,Asia,Galatia-Cappodocia,,,,,,,,,,,,,
,107,Asia,Cilicia,,,,,,,,,,,,,
,108,Asia,Bithynia,,,,,,,,,,,,,
,109,Asia,Armenia,,,,,,,,,,,,,
,110,Europe,Raetia,,,,,,,,,,,,,
,111,Europe,Moesia,,,,,,,,,,,,,
,115,Europe,"Alpes Cottiae, Maritimiae, Poeniae",,,,,,,,,,,,,
,116,Asia,Paphlagonia,,,,,,,,,,,,,
,117,Europe,Lycaonia,,,,,,,,,,,,,
,118,Europe,Thracia,,,,,,,,,,,,,
,119,Asia,Mesopotamia,,,,,,,,,,,,,
,120,Asia,Lycia,,,,,,,,,,,,,
,121,Europe,Sardinia,,,,,,,,,,,,,
0101000020E61000009B559FABAD982940A0FD481119FA4440,37,Italy,Villas near Tivoli,Colle Vitriano,,Region IV,,,,,,locality,,,,
0101000020E610000020D4450A650D2640E9F010C64F8D4140,273,Africa,Africa Proconsularis,Acholla,House of the Triumph of Neptune,,precise,640,-330,"hellenistic-republican,roman,late-antique",Acholla,,,,,
,754,Europe,Silicia,Agrigento,Villa Durrueli di Realmonte,,,,,,,,,,,
0101000020E6100000EA6C12CD4DA529401159FF42EA694740,772,Europe,Noricum,Aguntum,Urban House,,precise,640,-30,"roman,late-antique",Aguntum,,,,,
,841,Europe,Gallia Narbonensis,Ain,Tomb Garden of M. R. Catullus,,,,,,,,,,,
,112,Africa,Cyrene,,,,wrong,,,,,,,,,
0101000020E61000005D15A8C5E0A921400D54C6BFCFF84140,1206,Africa,Africa Proconsularis,Althiburos,House of the Muses,,precise,640,-330,"hellenistic-republican,roman,late-antique",Althiburos,,,,,
0101000020E61000005D15A8C5E0A921400D54C6BFCFF84140,1207,Africa,Africa Proconsularis,Althiburos,House of the Fishing Scene,,precise,640,-330,"hellenistic-republican,roman,late-antique",Althiburos,,,,,
0101000020E6100000D2AC6C1FF2D61B40D7A546E867784940,5118,Europe,Germania Inferior,Colonia Claudia Ara Agrippinensium,House Wolfstrasse,,,,,,,,,,,
0101000020E6100000F3412A20488D294025A73CDB1FF84440,34,Italy,Villa Adriana,Canopus gardens,,Region IV,,,,,,verified,,,,
0101000020E6100000E17D552E54B63640E886A6ECF4FD4240,82,Europe,Achaia,Sikyon,Sanctuary of Demeter and Persephone,,rough,,,,,verified,,,,
,1426,Europe,Gallia Narbonensis,Andance,Villa de Chateau Pipet,,,,,,,,,,,
0101000020E610000037A5BC56425715401AC231CB9EEE4740,1437,Europe,Germania Superior,Andematunnum,Tomb garden of anonymous,,precise,640,-30,"roman,late-antique",Andematunnum,,,,,
,1569,Asia,Syria,Antioch,Private Houses,,,,,,,,,,,
,2907,Europe,Germania Superior,Aventicum,"House, insula 16",,,,,,,,,,,
0101000020E6100000F81B69803D2CF63F5FB8103769914440,1201,Europe,Hispania Tarraconensis,Altafulla,Villa de Els Munts,,,,,,,locality,,,Verified,
0101000020E6100000E7C75F5AD4A7E43FD95A5F24B49B4540,61,Europe,Gallia Aquitania,Montmaurin,Villa of Lasalles,,"precise
",,,,,,,,Verified,
0101000020E61000005692444840651240CDF84A62C1474640,995,Europe,Gallia Narbonensis,Alba Helviorum,Baths of La Planchette,,precise,640,-30,"roman,late-antique",Alba Helviorum,,,,Verified,
0101000020E6100000AB2AB0D726671240337F96F8ED474640,1002,Europe,Gallia Narbonensis,Alba Helviorum,Area with Porticoes B,,precise,640,-30,"roman,late-antique",Alba Helviorum,,,,Verified,
0101000020E6100000BB29C4A729671240666F84A07E474640,998,Europe,Gallia Narbonensis,Alba Helviorum,"Le Pinard, House A",,precise,640,-30,"roman,late-antique",Alba Helviorum,,,,Verified,
0101000020E61000007F0F24102B67124034FC23E383474640,999,Europe,Gallia Narbonensis,Alba Helviorum,"Le Pinard, House B",,precise,640,-30,"roman,late-antique",Alba Helviorum,,,,Verified,
0101000020E61000004D774B30A46412406C727CDDB7474640,997,Europe,Gallia Narbonensis,Alba Helviorum,Les Basaltes House A,,precise,640,-30,"roman,late-antique",Alba Helviorum,,,,Verified,
0101000020E6100000A5631050C86B1240607FC81121484640,1001,Europe,Gallia Narbonensis,Alba Helviorum,Villa of Le Plaine,,precise,640,-30,"roman,late-antique",Alba Helviorum,,,,Approximate,
0101000020E6100000B96E4A79AD0C3340E0BE0E9C33C84740,1939,Europe,Pannonia,Aquincum,Urban House,,precise,640,-30,"roman,late-antique",Aquincum,,,,,
0101000020E61000007DAEB6627F4121408DD5E6FF55154840,1984,Europe,Germania Superior,Arae Flaviae,Large building,,precise,300,-30,roman,Arae Flaviae,,,,,
,2027,Europe,Gallia Narbonensis,Arausio,House with polychrome mosaic,,,,,,,,,,,
,2028,Europe,Gallia Narbonensis,Arausio,House on Cours Portoules,,,,,,,,,,,
,2029,Europe,Gallia Narbonensis,Arausio,Sururban villa de la Brunette,,,,,,,,,,,
,2030,Europe,Gallia Narbonensis,Arausio,House of Mosaic with Menander,,,,,,,,,,,
,2031,Europe,Gallia Narbonensis,Arausio,House of Clodius,,,,,,,,,,,
0101000020E61000003A02B859BC082540789B374E0A034240,7921,Africa,Africa Proconsularis,Horea Caelia,House of the Two Peristyles,,,,,,,verified,,,,
,2115,Europe,Gallia Narbonensis,Arelate,Trinquetaille House 1,,,,,,,,,,,
,2116,Europe,Gallia Narbonensis,Arelate,House under Credit Agricole,,,,,,,,,,,
,2350,Africa,Aegyptus,Arsinoite Nome,Fayum,,,,,,,,,,,
0101000020E6100000E882FA9639B93C4041446ADAC5DA4240,1693,Asia,Asia,Aphrodisias,?,,precise,300,-550,"classical,hellenistic-republican,roman",Aphrodisias,verified,,,,
,2664,Europe,Achaia,Athens,Omega House,,,,,,,,,,,
,2665,Europe,Achaia,Athens,Gardens of Epicurus,,,,,,,,,,,
,2776,Europe,Germania Superior,Augusta Raurica,House in insula 1 and 2,,,,,,,,,,,
,2777,Europe,Germania Superior,Augusta Raurica,"House, insula 30",,,,,,,,,,,
0101000020E6100000DC0F786000B93740CD069964E4FC4240,2661,Europe,Achaia,Athens,Altar of 12 Gods,,rough,,,,,verified,,,,
0101000020E6100000E882FA9639B93C4041446ADAC5DA4240,1692,Asia,Asia,Aphrodisias,?,,precise,640,-330,"hellenistic-republican,roman,late-antique",Aphrodisias,verified,,,,
0101000020E6100000D89DEE3CF1B8374033A9A10DC0FC4240,2667,Europe,Achaia,Athens,Palace of Giants,,rough,,,,,verified,,,,
0101000020E6100000E882FA9639B93C4041446ADAC5DA4240,1694,Asia,Asia,Aphrodisias,?,,precise,640,-330,"hellenistic-republican,roman,late-antique",Aphrodisias,verified,,,,
0101000020E6100000E882FA9639B93C4041446ADAC5DA4240,1695,Asia,Asia,Aphrodisias,?,,precise,640,-330,"hellenistic-republican,roman,late-antique",Aphrodisias,verified,,,,
,2769,Europe,Lusitania,Augusta Emerita,House of hill garden,,,,,,,unknown,,,,
0101000020E61000007CA070D124754340A822707F895B19C0,2768,Europe,Lusitania,Augusta Emerita,House of Theater,,,,,,,close,,,,
0101000020E6100000E5DF1DCF1D75434005D8ECED3B6319C0,2767,Europe,Lusitania,Augusta Emerita,House in Alcazaba,,,,,,,close,,,,
0101000020E61000003E7958A8357543409F98501C9B6019C0,2773,Europe,Lusitania,Augusta Emerita,Temple of Diana,,,,,,,close,,,,
0101000020E61000001B33E43334754340DFE819B1055B19C0,2771,Europe,Lusitania,Augusta Emerita,Peristyle of Theater,,,,,,,close,,,,
0101000020E6100000AA8251499DA02940107A36AB3EF74440,4372,Italy,Villas near Tivoli,Cassius' Villa,,Region IV,,,,,,locality,,,,
0101000020E61000004EADE7395C1617C001AA132BFE614240,2092,Europe,Hispania Baetica,Arcos de la Frontera,Villa el Santiscal,,,,,,very close,locality,,,Verified,
0101000020E61000002A68A4EF7F21F43F95F239FBF3E94640,2802,Europe,Gallia Aquitania,Augustoritum,House in rue de Vigne de fer,,precise,640,-30,"roman,late-antique",Augustoritum,,,,Verified,
