fid,pleiades_id,continent,it_region,n1,n2,n3,verified,notes,lon,lat
"1",,Italy,Region I,Pompeii,,VII.15.2,site,Casa del Marinaio,14.4837160324906,40.7490466562197
"2",,Italy,Region I,Pompeii,,VII.15.3,site,,14.4838244224727,40.7491306254743
"3",,Italy,Region I,Pompeii,,VII.15.4,site,Taberna Lusoria Aleariorum,14.483879536023,40.7491798007897
"4",,Italy,Region I,Pompeii,Shop-House,VIII.3.21,site,,14.4863931386026,40.7513388428328
"5",,Italy,Region I,Pompeii,Shop-House,VII.3.22,site,,14.4864274314783,40.751298947177
"6",,Italy,Region I,Pompeii,Shop-House,VII.3.23,site,,14.4864739718096,40.751246990008
"7",,Italy,Region I,Pompeii,House of M. Spurius Mensor,VII.3.29,site,,14.4859779498576,40.75106838693
"8",,Italy,Region I,Pompeii,"Casa del Panettiere; del Magistrato Anonimo",VII.3.30,site,,14.485823631917,40.7510155017707
"9",,Italy,Region I,Pompeii,,VII.3.36,site,,14.4856325716096,40.7510377692113
"10",,Italy,Region I,Pompeii,,VII.3.37,site,,14.4856264478818,40.7510720981677
"11",,Italy,Region I,Pompeii,House of Bacchus,VII.4.10,site,,14.4845070304394,40.7504569576954
"12",,Italy,Region I,Pompeii,Shop-House,VII.4.20,site,,14.4848720046165,40.750274177303
"13",,Italy,Region I,Pompeii,,VII.4.26,site,,14.4852014611722,40.7503372690689
"14",,Italy,Region I,Pompeii,,VII.4.27,site,,14.4852516757402,40.7503567532786
"15",,Italy,Region I,Pompeii,Aviary,VII.7.16,site,,14.4839624906536,40.7495433836405
"16",,Italy,Region I,Pompeii,,VII.7.17,site,,14.4839094522832,40.7495897091331
"17",,Italy,Region I,Pompeii,,VII.7.23,site,,14.4841912836243,40.7497416061002
"18",,Italy,Region I,Pompeii,"House of the Golden Cupids; ouse of Cn. Poppaeus Habitus",VI.16.7,site,Casa degli Amorini Dorati,14.4851590307529,40.7524180273475
"19",,Italy,Region I,Pompeii,,VI.16.10,site,,14.4850022633212,40.7525664736796
"20",,Italy,Region I,Pompeii,,VI.16.26-27,site,,14.4844780722213,40.7527650201307
"21",,Italy,Region I,Pompeii,,VI.16.29-30,site,,14.4845729900022,40.7526235326503
"22",,Italy,Region I,Pompeii,,VI.16.31,site,,14.4846232045702,40.752527970444
"23",,Italy,Region I,Pompeii,,VI.16.36,site,,14.4847677245463,40.7523034451083
"24",,Italy,Region I,Pompeii,,VI.17.9-10,site,,14.4819814283961,40.7513413176254
"25",,Italy,Region I,Pompeii,House of Polybius,VI.17.23-26,site,,14.4828191543595,40.7506046358701
"26",,Italy,Region I,Pompeii,"House of Aequanus; House of Polybus [Mazois, Zahn, Breton]",VI.17.32/36,site,,14.4831865780277,40.7501370150047
"27",,Italy,Region I,Pompeii,"House of the Wedding of Alexander; House of the Bracelet",VI.17.42,site,,14.4834952139089,40.7497862971977
"28",,Italy,Region I,Pompeii,House of the Popidii,VIII.3.4,site,Casa di Ercole ed Auge,14.4856846896578,40.7491718425416
"29",,Italy,Region I,Pompeii,House of Championnet I,VII.2.1,site,,14.4845414338877,40.7485862972733
"30",,Italy,Region I,Pompeii,"House of the Wild Boar I; House of L. Coelius Caldus",VIII.3.8,site,Casa del Cinghiale I,14.4858621755939,40.749218455942
"31",,Italy,Region I,Pompeii,Shop on Via dell’Abbondanza,II.5.1,site,,14.4937855261086,40.75247833371
"32",,Italy,Region I,Pompeii,,VI.1.1,site,Caupona,14.4813670210443,40.7517957432551
"33",,Italy,Region I,Pompeii,"House of P. Varenius Zethus; House of the Vestals",VI.1.7,site,Casa delle Vestali,14.4816890232593,40.7516067329663
"34",,Italy,Region I,Pompeii,"House of P. Varenius Zethus; House of the Vestals",VI.1.25,site,Casa delle Vestali,14.4819126894686,40.7518968211797
"35",,Italy,Region I,Pompeii,House of the Surgeon,VI.1.10,site,Casa del Chirurgo,14.4818023988895,40.751535160151
"36",,Italy,Region I,Pompeii,"House of Sallust; of A Cossius Libanus; House of Actaron",VI.2.5,site,Casa di Atteone,14.4825110575052,40.7510871357085
"37",,Italy,Region I,Pompeii,"House of Sallust; of A Cossius Libanus; House of Actaeon",VI.2.3,site,Casa di Atteone,14.4824502357406,40.7511524988586
"38",,Italy,Region I,Pompeii,"House of Actaeon; House of Sallust; of A Cossius Libanus",VI.2.4,site,Casa di Atteone,14.4824827683124,40.7511176742374
"39",,Italy,Region I,Pompeii,,VI.2.10,site,,14.4823059608573,40.7513362654033
"40",,Italy,Region I,Pompeii,,VI.2.12,site,,14.4822065950675,40.7515189599196
"41",,Italy,Region I,Pompeii,"House of the Amazons; of Isis and Osiris",VI.2.14,site,,14.4821114726567,40.7516759375048
"42",,Italy,Region I,Pompeii,House of Narcissus,VI.2.16,site,Casa del Narcisso,14.4819983158855,40.7518409510856
"43",,Italy,Region I,Pompeii,House of Narcissus,VI.2.21,site,Casa del Narcisso,14.4823328355905,40.7520300732898
"44",,Italy,Region I,Pompeii,Stable and Caupona,VI.2.18,site,,14.4818879880335,40.7519963206412
"45",,Italy,Region I,Pompeii,Stable and Caupona,VI.2.19,site,,14.4822366523349,40.7521763345689
"46",,Italy,Region I,Pompeii,Hospitum,VI.2.20,site,,14.4822978277144,40.7520812379863
"47",,Italy,Region I,Pompeii,"House of Apollo; House of the Female Dancers",VI.2.15,site,Casa delle Danzatrici,14.4820623201842,40.751750140091
"48",,Italy,Region I,Pompeii,"House of Apollo; House of the Female Dancers",VI.2.22,site,Casa delle Danzatrici,14.4823940109699,40.7519376552827
"49",,Italy,Region X,Brioni Island,,,locality,,13.7609,44.912
"50",,Europe,,Creta,,,,,0,0
"51",,Europe,,Germania Inferior,Blackenheim,Rural Villa,,,0,0
"52",,Italy,Region IV,Villa Adriana,Canopus gardens,,verified,,12.7759409,41.93847218
"53",,Europe,,Britannia,Chedworth,Rural Villa,,,-1.924798,51.81983
"54",,Italy,Region IV,Villas near Tivoli,Colle Vitriano,,locality,,12.7982,41.95389
"55",,Italy,Region IV,Villas near Tivoli,Cynthia's villa,,,,0,0
"56",,Europe,,Germania Superior,Ferpicloz,Rural Villa,,,0,0
"57",,Africa,,Aegyptus,Imbrahimiya,Alexandria,locality,,29.925521,31.2141
"58",,Europe,,Lusitania,La Cocosa,Villa de La Cocosa,wrong,,0,0
"59",,Italy,Region I,Campania,Massa Lubrense,,rough,,14.33372498,40.60355938
"60",,Europe,,Gallia Aquitania,Montmaurin,Villa of Lasalles,verified,,0.645487,43.216435
"61",,Europe,,Achaia,Sikyon,Sanctuary of Demeter and Persephone,verified,,22.712222,37.984037
"62",,Italy,Region I,Latium,Sperlonga,,verified,,13.46288681,41.24231993
"63",,Italy,Region IV,Villa Adriana,Terraced garden,,rough,,12.77243793,41.94337219
"64",,Africa,,Aegyptus,Theadelphia,Fayum,locality,,30.516667,29.35
"65",,Europe,,Gallia Lugdunensis,Vaise,House with Xenia,,,0,0
"66",,Europe,,Gallia Narbonensis,Vasio Voncontorium,Sanctuary with Porticoes,,,0,0
"67",,Europe,,Gallia Belgica,Weitersbach,Rural Villa,,,0,0
"68",,Italy,Region VII,Cosa,,,rough,,11.2877,42.4126
"69",,Asia,,Hellespontus,,,,,0,0
"70",,Asia,,Galatia-Cappodocia,,,,,0,0
"71",,Asia,,Cilicia,,,,,0,0
"72",,Asia,,Bithynia,,,,,0,0
"73",,Asia,,Armenia,,,,,0,0
"74",,Europe,,Raetia,,,,,0,0
"75",,Europe,,Moesia,,,,,0,0
"76",,Africa,,Cyrene,,,,,0,0
"77",,Italy,Region IV,Tivoli,,,verified,,12.7971,41.96566
"78",,Italy,Region II,Spinazzola,,,rough,,16.086,40.9659
"79",,Europe,,"Alpes Cottiae, Maritimiae, Poeniae",,,,,0,0
"80",,Asia,,Paphlagonia,,,,,0,0
"81",,Europe,,Lycaonia,,,,,0,0
"82",,Europe,,Thracia,,,,,0,0
"83",,Asia,,Mesopotamia,,,,,0,0
"84",,Asia,,Lycia,,,,,0,0
"85",,Europe,,Sardinia,,,,,0,0
